Timestamp (UTC+12:00),"PM2,5.Hourly Aggregate (µg/m³)",Air Temp.Hourly Aggregate (°C),SO2.Hourly Aggregate (µg/m³),NO.Hourly Aggregate (µg/m³),NO2.Hourly Aggregate (µg/m³),Solar Rad.Hourly Aggregate (W/m²),Rel Humidity.Hourly Aggregate (%),Wind Dir.Hourly Aggregate (°),Wind Speed m/s.Hourly Aggregate (m/s)
2019-01-01 00:00:00,,20,,3.8,6.2,,77.6,221,3.2
2019-01-01 00:00:01,,,,NaN,NaN,,,,
2019-01-01 01:00:00,,20,,,,,78.6,217,2.9
2019-01-01 01:59:59,,,,,NaN,,,,
2019-01-01 02:00:00,,19,,,5.8,,79.3,217,2.7
2019-01-01 03:00:00,,19,,,4.8,,80.4,221,2.2
2019-01-01 04:00:00,,20,,,4.5,,79.4,218,2.4
2019-01-01 05:00:00,,20,,,3.8,,78.4,219,3
2019-01-01 06:00:00,,19,,,4.6,,79.1,217,2.5
2019-01-01 07:00:00,,20,,,5.4,,76.7,216,2.9
2019-01-01 08:00:00,,21,,,3.8,,71.7,215,3.4
2019-01-01 09:00:00,,21,,,4.6,,71.3,219,3.7
2019-01-01 10:00:00,,21,,,4.3,,69.7,214,3.8
2019-01-01 11:00:00,,22,,,4.8,,67.2,220,3.7
2019-01-01 12:00:00,,22,,,5.1,,67.2,218,4.2
2019-01-01 13:00:00,,22,,,4.2,,70.1,232,4.6
2019-01-01 14:00:00,,22,,,4.6,,68.7,218,4.6
2019-01-01 15:00:00,,23,,,3.1,,66,230,5
2019-01-01 16:00:00,,23,,,2.9,,67.3,235,5.3
2019-01-01 17:00:00,,22,,,2.2,,67.2,237,5.4
2019-01-01 18:00:00,,22,,,3.6,,68.8,226,4.9
2019-01-01 19:00:00,,21,,,4.8,,72,216,4.6
2019-01-01 20:00:00,,21,,,5.9,,70.4,216,4.1
2019-01-01 21:00:00,,21,,,5.7,,70.6,214,3.7
2019-01-01 22:00:00,,20,,,5.1,,73.1,214,4.1
2019-01-01 23:00:00,,20,,,3.7,,73.8,210,3.8
2019-01-02 00:00:00,,20,,,2,,74.1,216,4.2
2019-01-02 01:00:00,,20,,,1.5,,75.1,214,3.2
2019-01-02 02:00:00,,20,,,1.5,,75.7,214,3.3
2019-01-02 03:00:00,,20,,,4.7,,75.6,209,2.4
2019-01-02 04:00:00,,20,,,4.7,,76.3,212,2.6
2019-01-02 05:00:00,,20,,,4.6,,79.5,218,2.5
2019-01-02 06:00:00,,20,,,6.5,,82.4,221,2.8
2019-01-02 07:00:00,,20,,,7.2,,82,220,3.1
2019-01-02 08:00:00,,20,,,5.9,,80.4,232,3.3
2019-01-02 09:00:00,,21,,,5,,73.9,230,3.7
2019-01-02 10:00:00,,22,,,4.2,,65.4,226,4.2
2019-01-02 11:00:00,,22,,,4.2,,58.9,227,4.6
2019-01-02 12:00:00,,22,,,4,,58.5,229,5.4
2019-01-02 13:00:00,,22,,,3.5,,58.1,227,4.9
